state,ev_count,chargers
Andaman and Nicobar Islands,190,7
Andhra Pradesh,67905,1309
Arunachal Pradesh,28,53
Assam,120423,518
Bihar,161060,818
Chandigarh,7964,22
Chhattisgarh,54848,571
Dadra and Nagar Haveli,354,18
Delhi,233212,358
Goa,12615,85
Gujarat,138410,1470
Haryana,69271,1287
Himachal Pradesh,2410,165
Jammu and Kashmir,10896,197
Jharkhand,36759,458
Karnataka,248747,1972
Kerala,98332,834
Ladakh,65,15
Madhya Pradesh,96151,1328
Maharashtra,305006,2010
Manipur,1203,69
Meghalaya,139,81
Mizoram,118,18
Nagaland,62,47
Odisha,62567,893
Pondicherry,4588,36
Punjab,35727,1064
Rajasthan,180670,1901
Sikkim,20,13
Tamil Nadu,173152,2434
Tripura,14839,58
Uttar Pradesh,574967,2901
Uttarakhand,49491,252
West Bengal,68376,1276
